Unit_ID,X,LRR,var.LRR,scale,col,Study,ID.case,system,pr.st
50,0.765202787,-0.117783036,0.016484053,1.45711092,darkblue,BBH079,50,freshwater,-0.969440808
52,0.717419837,0.182321557,0.039259259,1.406970027,darkblue,BBH080,52,freshwater,-1.001961321
53,0.717419837,-0.207639365,0.02872288,1.425025806,darkblue,BBH080,53,freshwater,-1.001961321
54,2.691325171,0.502091944,0.015403896,1.461026825,darkblue,BBH081,54,freshwater,0.341455372
55,2.691325171,0.459532329,0.02795732,1.426586722,darkblue,BBH081,55,freshwater,0.341455372
56,1.972917764,0.296265816,0.013415304,1.46901339,darkblue,BBH082,56,freshwater,-0.147484237
57,1.972917764,0.200670695,0.030024572,1.422464886,darkblue,BBH082,57,freshwater,-0.147484237
58,3.291892878,0.606135804,0.005136537,1.524482916,darkblue,BBH083,58,freshwater,0.750194671
59,3.291892878,0.660990069,0.000566034,1.651915001,darkblue,BBH083,59,freshwater,0.750194671
62,3.004151153,0.826678573,0.004630368,1.530477143,darkblue,BBH085,62,freshwater,0.554361046
63,3.004151153,1.15267951,0.010625064,1.482486489,darkblue,BBH085,63,freshwater,0.554361046
64,3.258562141,1.06784063,0.014473571,1.464626281,darkblue,BBH086,64,freshwater,0.727510164
65,3.258562141,0.652325186,0.007114815,1.505658271,darkblue,BBH086,65,freshwater,0.727510164
66,3.341975504,0.889857475,0.007432841,1.503131626,darkblue,BBH087,66,freshwater,0.784280315
67,3.341975504,1.003302109,0.004674778,1.529925613,darkblue,BBH087,67,freshwater,0.784280315
68,3.371700842,0.54522705,0.000489666,1.660288956,darkblue,BBH088,68,freshwater,0.80451103
69,3.371700842,0.575364145,0.001929459,1.581057327,darkblue,BBH088,69,freshwater,0.80451103
70,0.745844449,0,0.003748558,1.542683977,darkblue,BBH089,70,freshwater,-0.982615865
71,0.745844449,0,0.003000923,1.555537151,darkblue,BBH089,71,freshwater,-0.982615865
72,1.597569441,0.603535022,0.005480442,1.5207384,darkblue,BBH090,72,freshwater,-0.40294188
73,1.597569441,0.843429384,0.011024984,1.480351629,darkblue,BBH090,73,freshwater,-0.40294188
74,3.157515543,0.843429384,0.012729391,1.472045816,darkblue,BBH091,74,freshwater,0.658739041
75,3.157515543,1.048601868,0.001012333,1.618324228,darkblue,BBH091,75,freshwater,0.658739041
76,3.650972698,1.084013489,0.003673881,1.543846655,darkblue,BBH092,76,freshwater,0.994580162
77,3.650972698,0.980829253,0.012011054,1.475402019,darkblue,BBH092,77,freshwater,0.994580162
