,Unit_ID,ID.X,row.ID,Study,continent,taxon,metric,metric.specific,disturbance,matrix,distance.p.d,time,effect.direction,p.mean,p.sd,p.n,d.mean,d.sd,d.n,hedges.g,LRR,var.LRR,time.inv,dist.inv,X,study.ID,dist.inv,scale,col,row.ID,pr.st
23,23,330,906,m6_5_44,SA,m,abu,Mean capture frequency,sec,nat,2,20,p,45.2,19.9,3,27.8,14.8,3,0.793777934,-0.486061066,0.159085294,-2.995732274,-0.693147181,-2.995732274,44,-0.693147181,1.533823561,darkgreen,906,-0.966445652
30,30,337,913,m6_5_44,SA,m,abu,Mean capture frequency,sec,nat,2,20,p,16.35,3.323401872,3,10.2,2.93,3,1.570438946,-0.471840177,0.041277505,-2.995732274,-0.693147181,-2.995732274,44,-0.693147181,1.717620913,darkgreen,913,-0.966445652
27,27,334,910,m6_5_44,SA,m,abu,Mean capture frequency,sec,nat,2,20,p,41.4,13.6,3,27.8,14.8,3,0.765514129,-0.39824486,0.13044534,-2.995732274,-0.693147181,-2.995732274,44,-0.693147181,1.560864272,darkgreen,910,-0.966445652
36,36,343,919,m6_5_44,SA,m,abu,Mean capture frequency,sec,nat,2,20,p,18.6,16.2,3,13.8,13.4,3,0.258306353,-0.298492989,0.567151318,-2.995732274,-0.693147181,-2.995732274,44,-0.693147181,1.360643958,darkgreen,919,-0.966445652
24,24,331,907,m6_5_44,SA,m,abu,Mean capture frequency,sec,nat,2,20,p,16.3,13.5,3,13.8,13.4,3,0.148697857,-0.166496516,0.542939645,-2.995732274,-0.693147181,-2.995732274,44,-0.693147181,1.366587603,darkgreen,907,-0.966445652
32,32,339,915,m6_5_44,SA,m,abu,Mean capture frequency,sec,nat,2,20,p,13.5,4.09,3,13.8,13.4,3,-0.024225863,0.021978907,0.344885234,-2.995732274,-0.693147181,-2.995732274,44,-0.693147181,1.428409068,darkgreen,915,-0.966445652
29,29,336,912,m6_5_44,SA,m,abu,Mean capture frequency,sec,nat,2,20,p,13,0.707106781,3,13.8,13.4,3,-0.067450683,0.059719235,0.315275908,-2.995732274,-0.693147181,-2.995732274,44,-0.693147181,1.440637979,darkgreen,912,-0.966445652
39,39,362,981,m6_5_48,CA,m,abu,"Mean capture rate (bats per harp trap hour), harp traps",sel,nat,NA,10,p,0.15,0.070710678,2,0.16,0.134164079,5,-0.067858776,0.064538521,0.251736111,-2.302585093,NA,-2.302585093,48,NA,1.471299888,darkgreen,981,-0.382562015
40,40,363,982,m6_5_48,CA,m,abu,"Mean capture rate (bats per mist net hour), ground mist nets",sel,nat,NA,10,p,0.55,0.212132034,2,0.8,0.324037035,5,-0.690342985,0.374693449,0.107192665,-2.302585093,NA,-2.302585093,48,NA,1.58761075,darkgreen,982,-0.382562015
41,41,364,983,m6_5_48,CA,m,abu,"Mean capture rate (bats per mist net hour), subcanopy mist nets",sel,nat,NA,10,p,0.1,0.113137085,2,0.236,0.156939479,5,-0.767544728,0.858661619,0.728444413,-2.302585093,NA,-2.302585093,48,NA,1.326546431,darkgreen,983,-0.382562015
47,47,516,1538,m6_5_89,SA,m,abu,Mean track rate per 10 km,sec,nat,7,13,p,0.65,0.84,4,0.25,0.5,4,0.503198199,-0.955511445,1.417514793,-2.564949357,-1.945910149,-2.564949357,89,-1.945910149,1.23584829,darkgreen,1538,-0.603568758
46,46,515,1537,m6_5_89,SA,m,abu,Mean track rate per 10 km,sec,nat,7,13,p,2.02,1.86,4,0.8,0.86,4,0.732139281,-0.926241063,0.500870763,-2.564949357,-1.945910149,-2.564949357,89,-1.945910149,1.37757494,darkgreen,1537,-0.603568758
52,52,521,1543,m6_5_89,SA,m,abu,Mean track rate per 10 km,sec,nat,7,13,p,0.94,0.8,4,0.46,0.92,4,0.484161829,-0.714653386,1.181077411,-2.564949357,-1.945910149,-2.564949357,89,-1.945910149,1.260708142,darkgreen,1543,-0.603568758
51,51,520,1542,m6_5_89,SA,m,abu,Mean track rate per 10 km,sec,nat,7,13,p,1.81,1.3,4,1.41,1.04,4,0.295468966,-0.249737141,0.264973572,-2.564949357,-1.945910149,-2.564949357,89,-1.945910149,1.464318032,darkgreen,1542,-0.603568758
43,43,512,1534,m6_5_89,SA,m,abu,Mean track rate per 10 km,sec,nat,7,13,p,2.47,2.18,4,1.95,1.52,4,0.24062018,-0.236388778,0.346641825,-2.564949357,-1.945910149,-2.564949357,89,-1.945910149,1.42771695,darkgreen,1534,-0.603568758
45,45,514,1536,m6_5_89,SA,m,abu,Mean track rate per 10 km,sec,nat,7,13,p,1.29,2.04,4,1.09,1.14,4,0.105245397,-0.168464522,0.898664642,-2.564949357,-1.945910149,-2.564949357,89,-1.945910149,1.297937332,darkgreen,1536,-0.603568758
48,48,517,1539,m6_5_89,SA,m,abu,Mean track rate per 10 km,sec,nat,7,13,p,6.69,4.06,4,8.57,4.68,4,-0.373154409,0.247653858,0.166628449,-2.564949357,-1.945910149,-2.564949357,89,-1.945910149,1.527512355,darkgreen,1539,-0.603568758
49,49,518,1540,m6_5_89,SA,m,abu,Mean track rate per 10 km,sec,nat,7,13,p,0.42,0.84,4,1.06,1.52,4,-0.453191194,0.925769476,1.514061944,-2.564949357,-1.945910149,-2.564949357,89,-1.945910149,1.226871666,darkgreen,1540,-0.603568758
50,50,519,1541,m6_5_89,SA,m,abu,Mean track rate per 10 km,sec,nat,7,13,p,0.36,0.72,4,1,1.22,4,-0.555578058,1.021651248,1.3721,-2.564949357,-1.945910149,-2.564949357,89,-1.945910149,1.240284471,darkgreen,1541,-0.603568758
42,42,511,1533,m6_5_89,SA,m,abu,Mean track density per 10 km,sec,nat,7,13,p,1.8,1,4,21.3,17.8,4,-1.345078072,2.470920408,0.251751073,-2.564949357,-1.945910149,-2.564949357,89,-1.945910149,1.471291791,darkgreen,1533,-0.603568758
44,44,513,1535,m6_5_89,SA,m,abu,Mean track rate per 10 km,sec,nat,7,13,p,1.8,1.04,4,21.3,17.82,4,-1.343401136,2.470920408,0.258439928,-2.564949357,-1.945910149,-2.564949357,89,-1.945910149,1.467719378,darkgreen,1535,-0.603568758
61,61,530,1560,m6_5_90,SA,m,abu,"Mean number of captures per sampling period, closed canopy",sel,nat,1.7,1.666666667,p,0.17,0.014142136,2,0.03,0.014142136,2,5.656854099,-1.734601055,0.114571325,-0.510825624,-0.530628251,-0.510825624,90,-0.530628251,1.578541643,darkgreen,1560,1.126755289
60,60,529,1559,m6_5_90,SA,m,abu,"Mean number of captures per sampling period, closed canopy",sel,nat,1.7,1.666666667,p,0.09,0.014142136,2,0.05,0.014142136,2,1.616244028,-0.587786665,0.052345682,-0.510825624,-0.530628251,-0.510825624,90,-0.530628251,1.685258117,darkgreen,1559,1.126755289
59,59,528,1558,m6_5_90,SA,m,abu,"Mean number of captures per sampling period, closed canopy",sel,nat,1.7,1.666666667,p,0.08,0.014142136,2,0.05,0.014142136,2,1.212183021,-0.470003629,0.055625003,-0.510825624,-0.530628251,-0.510825624,90,-0.530628251,1.676980041,darkgreen,1558,1.126755289
