"stressor_RR","es","power","effect","es_cat","number"
"Precip ",0.0120178709391637,0.0584513617331494,"cMAOM.MA","c.MA.power",135
"LUC 6",0.0436883719343155,0.0553082425325812,"cMAOM.MA","c.MA.power",136
"Warm 2",0.797139908249877,0.999791492219285,"cMAOM.MA","c.MA.power",137
"Inv 1",1.33585960425313,0.856847080286489,"cMAOM.MA","c.MA.power",138
"Fire 1",3.72716432189855,0.722854884066405,"cMAOM.MA","c.MA.power",139
"Fire 2",0.00294333021406599,0.0500162079674401,"cMAOM.MA","c.MA.power",140
"Fire 3",0.0754773587952458,0.0607254337780605,"cMAOM.MA","c.MA.power",141
"Warm 3",0.0799947431073161,0.309688501166562,"cMAOM.MA","c.MA.power",142
"Warm 4",0.0390968339616512,0.0999635469407468,"cMAOM.MA","c.MA.power",143
"Warm 5",0.0462511049617312,0.123159831422042,"cMAOM.MA","c.MA.power",144
"BD loss 3",0.387441363103359,0.89934385594841,"cMAOM.MA","c.MA.power",145
"BD loss 4",0.22545438811447,0.609420599414357,"cMAOM.MA","c.MA.power",146
"BD loss 5",0.385937174610948,0.267772764298083,"cMAOM.MA","c.MA.power",147
"Acid",0.109396336507312,0.128897061774874,"cMAOM.MA","c.MA.power",148
"Inv 2",0.795174063113597,0.999999999369858,"cMAOM.MA","c.MA.power",149
"Inv 3",0.318911998191515,0.567536984235406,"cMAOM.MA","c.MA.power",150
"BD loss 1",0.303339522756604,1,"MAOM.MA","c.MA.power",151
"BD loss 2",0.280758088674229,0.980282463890223,"MAOM.MA","c.MA.power",152
"Fert 1",0.624493879205995,1,"MAOM.MA","c.MA.power",153
"Fert 2",0.563202040845238,1,"MAOM.MA","c.MA.power",154
"Warm 1",0.071449836770106,0.574688256663194,"MAOM.MA","c.MA.power",155
"Fert 3",0.17475736771057,0.62460555395999,"MAOM.MA","c.MA.power",156
"Fert 4",0.614235134422731,0.998868803368445,"MAOM.MA","c.MA.power",157
"LUC 1",0.31515069467717,0.679764554762734,"MAOM.MA","c.MA.power",158
"LUC 2",0.489331659916264,0.422912455258276,"MAOM.MA","c.MA.power",159
"LUC 3",0.485811278606089,0.883767076691282,"MAOM.MA","c.MA.power",160
"LUC 4",0.212459319874228,0.279102794093075,"MAOM.MA","c.MA.power",161
"LUC 5",0.053662102402195,0.0641923053974803,"MAOM.MA","c.MA.power",162
"Fert 5",0.088828361886831,0.740853036566832,"MAOM.MA","c.MA.power",163
"Fert 6",0.1503532506576,0.640848944421893,"MAOM.MA","c.MA.power",164
"Precip ",0.0206043273809476,0.0937906409416465,"MAOM.MA","c.MA.power",165
"LUC 6",0.287216649680991,0.292559993396246,"MAOM.MA","c.MA.power",166
"Warm 2",0.797139908249877,0.999791492219285,"MAOM.MA","c.MA.power",167
"Inv 1",0.205148067493953,0.539032970859582,"MAOM.MA","c.MA.power",168
"Fire 1",0.185795072294041,0.152612937784679,"MAOM.MA","c.MA.power",169
"Fire 2",0.0916286821796462,0.180326169627941,"MAOM.MA","c.MA.power",170
"Fire 3",0.0945372096177121,0.188955294016364,"MAOM.MA","c.MA.power",171
"Warm 3",0.111125168174041,0.936305791488012,"MAOM.MA","c.MA.power",172
"Warm 4",0.0845578388473058,0.626287693240206,"MAOM.MA","c.MA.power",173
"Warm 5",0.0462511049617312,0.123159831422042,"MAOM.MA","c.MA.power",174
"BD loss 3",0.500550348531446,0.998861048949077,"MAOM.MA","c.MA.power",175
"BD loss 4",0.496212049525797,0.99707777848306,"MAOM.MA","c.MA.power",176
"BD loss 5",0.419148216029129,0.433816600195026,"MAOM.MA","c.MA.power",177
"Acid",0.213573620444919,0.58873123783159,"MAOM.MA","c.MA.power",178
"Inv 2",0.90427395944192,0.99999999999997,"MAOM.MA","c.MA.power",179
"Inv 3",0.318911998191515,0.567536984235406,"MAOM.MA","c.MA.power",180
