Unit_ID,X.1,X,LRR,var.LRR,col,scale,Study,Sys1,pr.st
153,734,0.9375,-0.400890972,0.029402337,darkgreen,1.009116243,m1_159,T,1.117813703
154,735,0.75,-0.142165373,0.023483776,darkgreen,1.011521319,m1_159,T,0.243458546
155,736,0.4375,-0.329997267,0.064099338,darkgreen,1.003950665,m1_159,T,-1.213800049
156,737,0.9375,-0.890519589,0.06504677,darkgreen,1.003886907,m1_159,T,1.117813703
157,738,0.75,-0.333058707,0.072704141,darkgreen,1.003432592,m1_159,T,0.243458546
158,739,0.75,0.24775091,0.018526983,darkgreen,1.014717935,m1_159,T,0.243458546
159,740,0.9375,-0.362492975,0.021241567,darkgreen,1.012782519,m1_159,T,1.117813703
160,741,0.4375,-0.031124378,0.016205699,darkgreen,1.016887228,m1_159,T,-1.213800049
161,742,0.9375,-1.068571602,0.075500913,darkgreen,1.003289634,m1_159,T,1.117813703
162,743,0.4375,-0.223878902,0.063759953,darkgreen,1.003973965,m1_159,T,-1.213800049
163,744,0.75,-0.562780576,0.088146173,darkgreen,1.002756503,m1_159,T,0.243458546
164,745,0.4375,-0.050879805,0.046639378,darkgreen,1.005589364,m1_159,T,-1.213800049
165,746,0.75,0.480625993,0.098640574,darkgreen,1.002417845,m1_159,T,0.243458546
166,747,0.9375,-0.337945047,0.066680754,darkgreen,1.003781205,m1_159,T,1.117813703
167,748,0.75,-0.444284203,0.052935266,darkgreen,1.004873845,m1_159,T,0.243458546
168,749,0.4375,0.083664671,0.050320885,darkgreen,1.005149228,m1_159,T,-1.213800049
169,750,0.9375,-1.183424568,0.035306442,darkgreen,1.007520435,m1_159,T,1.117813703
170,751,0.9375,-1.079981339,0.025639099,darkgreen,1.010516925,m1_159,T,1.117813703
171,752,0.4375,-0.202323586,0.024137361,darkgreen,1.011197794,m1_159,T,-1.213800049
172,753,0.75,-0.406649958,0.029121311,darkgreen,1.009208334,m1_159,T,0.243458546
173,801,0.4375,-0.150369675,0.005760126,darkgreen,1.048284715,m1_159,T,-1.213800049
174,802,0.75,0.050891077,0.012169632,darkgreen,1.022629391,m1_159,T,0.243458546
175,803,0.9375,-0.722658219,0.039410484,darkgreen,1.006692858,m1_159,T,1.117813703
176,804,0.4375,-0.09682599,0.005768652,darkgreen,1.048212721,m1_159,T,-1.213800049
177,805,0.75,-0.228244477,0.008623365,darkgreen,1.032110947,m1_159,T,0.243458546
178,806,0.9375,-0.702448229,0.022017514,darkgreen,1.012316997,m1_159,T,1.117813703
179,807,0.75,0.023251724,0.034887421,darkgreen,1.007615885,m1_159,T,0.243458546
180,808,0.9375,-0.794784942,0.026359805,darkgreen,1.010217715,m1_159,T,1.117813703
181,809,0.4375,-0.199658261,0.020276671,darkgreen,1.013411097,m1_159,T,-1.213800049
182,810,0.4375,-0.108148104,0.00588991,darkgreen,1.047211362,m1_159,T,-1.213800049
183,811,0.9375,-0.352271526,0.01731154,darkgreen,1.015781237,m1_159,T,1.117813703
184,812,0.75,0.002500001,0.033169138,darkgreen,1.008032518,m1_159,T,0.243458546
185,813,0.75,0.17290465,0.049961773,darkgreen,1.005189306,m1_159,T,0.243458546
186,814,0.4375,-0.186009812,0.063627103,darkgreen,1.003983153,m1_159,T,-1.213800049
187,815,0.9375,-0.374131619,0.048838978,darkgreen,1.005318416,m1_159,T,1.117813703
188,816,0.75,0.635634465,0.043310635,darkgreen,1.006051741,m1_159,T,0.243458546
189,817,0.4375,0.283881544,0.036222656,darkgreen,1.007319421,m1_159,T,-1.213800049
190,818,0.9375,0.434829465,0.080044402,darkgreen,1.00307869,m1_159,T,1.117813703
191,819,0.75,0.117392349,0.021935724,darkgreen,1.012364514,m1_159,T,0.243458546
192,820,0.4375,0.052232187,0.041380558,darkgreen,1.006353907,m1_159,T,-1.213800049
193,821,0.9375,-0.535694279,0.024254177,darkgreen,1.011141807,m1_159,T,1.117813703
194,822,0.4375,-0.175034105,0.009412954,darkgreen,1.029381587,m1_159,T,-1.213800049
195,823,0.9375,-0.317191646,0.021264946,darkgreen,1.012767996,m1_159,T,1.117813703
196,824,0.75,0.07256747,0.024955604,darkgreen,1.010816652,m1_159,T,0.243458546
197,898,0.857142857,-0.467185287,0.003519267,darkgreen,1.07930121,m1_163,T,0.743090064
198,899,0.857142857,-0.223944084,0.000846905,darkgreen,1.330878106,m1_163,T,0.743090064
199,906,0.5,-0.156159741,0.030623152,darkgreen,1.008735808,m1_165,T,-0.92234833
200,907,0.75,-0.03058247,0.027422712,darkgreen,1.009805138,m1_165,T,0.243458546
201,908,0.9375,-0.349813044,0.025578171,darkgreen,1.010542993,m1_165,T,1.117813703
202,909,0.875,-0.128380674,0.022591786,darkgreen,1.01199306,m1_165,T,0.826361984
203,910,0.9375,-0.904628216,0.025225311,darkgreen,1.01069644,m1_165,T,1.117813703
204,911,0.75,-0.611527521,0.038088098,darkgreen,1.006940041,m1_165,T,0.243458546
205,912,0.5,-0.420236358,0.033553266,darkgreen,1.007935675,m1_165,T,-0.92234833
206,913,0.875,-0.633385934,0.026903531,darkgreen,1.01000259,m1_165,T,0.826361984
207,914,0.75,-0.618555917,0.019665306,darkgreen,1.013841293,m1_165,T,0.243458546
208,915,0.5,-0.352150745,0.032804793,darkgreen,1.00812647,m1_165,T,-0.92234833
209,916,0.9375,-0.98024944,0.016060649,darkgreen,1.017043596,m1_165,T,1.117813703
210,917,0.875,-0.742818544,0.034095018,darkgreen,1.007802802,m1_165,T,0.826361984
211,926,0.555555556,-0.095310591,0.050277691,darkgreen,1.005154019,m1_165,T,-0.663280133
212,927,0.944444444,-0.164302171,0.073695764,darkgreen,1.003380664,m1_165,T,1.150197226
213,928,0.777777778,-0.015266145,0.042925597,darkgreen,1.006109851,m1_165,T,0.372992645
214,929,0.888888889,-0.129213857,0.03045301,darkgreen,1.008786999,m1_165,T,0.891129034
215,930,0.944444444,-0.002965171,0.123362586,darkgreen,1.001847803,m1_165,T,1.150197226
216,931,0.888888889,0.035497694,0.093018837,darkgreen,1.002589757,m1_165,T,0.891129034
217,932,0.555555556,-0.166818547,0.063307152,darkgreen,1.00400544,m1_165,T,-0.663280133
218,933,0.777777778,0.101821091,0.088397308,darkgreen,1.002747459,m1_165,T,0.372992645
219,942,0.5,0.287682072,0.041509676,darkgreen,1.006332816,m1_165,T,-0.92234833
220,943,0.625,0.323614237,0.087354694,darkgreen,1.002785344,m1_165,T,-0.339444892
221,944,0.875,-0.111703689,0.058768317,darkgreen,1.004347743,m1_165,T,0.826361984
222,945,0.75,0.346870678,0.046557562,darkgreen,1.005599936,m1_165,T,0.243458546
223,946,0.75,0.059315891,0.012533758,darkgreen,1.021959575,m1_165,T,0.243458546
224,947,0.875,-0.548565778,0.037856783,darkgreen,1.006985054,m1_165,T,0.826361984
225,948,0.5,0.043484343,0.013446704,darkgreen,1.020439692,m1_165,T,-0.92234833
226,949,0.625,0.324496209,0.024417046,darkgreen,1.011064642,m1_165,T,-0.339444892
227,950,0.875,-0.451470151,0.014774338,darkgreen,1.018564624,m1_165,T,0.826361984
228,951,0.625,0.002312617,0.022419661,darkgreen,1.012088411,m1_165,T,-0.339444892
229,952,0.5,0.049499423,0.003434173,darkgreen,1.081276755,m1_165,T,-0.92234833
230,953,0.75,-0.020512577,0.0058211,darkgreen,1.047774481,m1_165,T,0.243458546
231,958,0.928571429,-1.194120174,0.023832764,darkgreen,1.011346362,m1_165,T,1.076177746
232,959,0.714285714,-0.776126287,0.025163093,darkgreen,1.010723943,m1_165,T,0.076914705
