Unit_ID,X.1,X,LRR,var.LRR,Study,dist.inv,scale,col,row.ID,pr.st
87,677,-2.63905733,-0.245122458,0.035339214,m6_5_116,-0.405465108,1.738781492,darkgreen,1807,-0.665994796
88,678,-2.63905733,0.864997437,0.385734071,m6_5_116,-0.405465108,1.413159433,darkgreen,1808,-0.665994796
89,679,-2.63905733,0.559615788,0.270408162,m6_5_116,-0.405465108,1.461552135,darkgreen,1809,-0.665994796
90,680,-2.63905733,0.182321557,1.11111111,m6_5_116,-0.405465108,1.269027528,darkgreen,1810,-0.665994796
91,681,-2.63905733,-0.559615788,1.18367347,m6_5_116,-0.405465108,1.260409021,darkgreen,1811,-0.665994796
92,682,-2.63905733,1.609437912,1.999999996,m6_5_116,-0.405465108,1.188950584,darkgreen,1812,-0.665994796
93,684,-2.63905733,0.693147181,1.999999993,m6_5_116,-0.405465108,1.188950585,darkgreen,1814,-0.665994796
94,686,-2.63905733,0.187741624,0.027709196,m6_5_116,-0.405465108,1.771917707,darkgreen,1816,-0.665994796
95,697,-2.564949357,1.554490216,0.069226645,m6_5_122,-2.564949357,1.647178285,darkgreen,1917,-0.603568758
96,698,-2.564949357,0.439544422,0.388275471,m6_5_122,-2.564949357,1.412264798,darkgreen,1918,-0.603568758
97,699,-2.564949357,1.009664803,0.040622559,m6_5_122,-2.564949357,1.719799869,darkgreen,1919,-0.603568758
98,700,-2.564949357,0.502091944,0.10204738,m6_5_122,-2.564949357,1.594312218,darkgreen,1920,-0.603568758
99,701,-2.564949357,-0.134867398,0.012466988,m6_5_122,-2.564949357,1.880725669,darkgreen,1921,-0.603568758
100,702,-2.564949357,1.637011239,0.273466458,m6_5_122,-2.564949357,1.460019979,darkgreen,1922,-0.603568758
101,703,-2.564949357,-0.473287704,0.073764111,m6_5_122,-2.564949357,1.638529222,darkgreen,1923,-0.603568758
102,704,-2.564949357,-0.536028362,0.214114012,m6_5_122,-2.564949357,1.493352571,darkgreen,1924,-0.603568758
103,705,-2.564949357,0.12238021,0.048294423,m6_5_122,-2.564949357,1.696232281,darkgreen,1925,-0.603568758
