Unit_ID,X,LRR,var.LRR,scale,col,Study,ID.case,system,pr.st
529,-1.033535777,0.367785126,0.057087763,1.385337155,darkblue,m2_2_HLH631,529,freshwater,-1.061688226
530,-1.033535777,0.291007064,0.157161432,1.326824565,darkblue,m2_2_HLH631,530,freshwater,-1.061688226
531,-1.033535777,0.185550245,0.050805588,1.392073314,darkblue,m2_2_HLH631,531,freshwater,-1.061688226
532,-0.868433452,-0.342560261,0.091593399,1.358020666,darkblue,m2_2_HLH632,532,freshwater,-0.892652397
533,-0.868433452,-0.199549778,0.05384815,1.388712747,darkblue,m2_2_HLH632,533,freshwater,-0.892652397
534,-0.868433452,0.469397367,0.350763089,1.280436831,darkblue,m2_2_HLH632,534,freshwater,-0.892652397
535,-0.868433452,-0.29587076,0.095844748,1.355399173,darkblue,m2_2_HLH632,535,freshwater,-0.892652397
536,-0.868433452,-0.115714837,0.247257456,1.300641299,darkblue,m2_2_HLH632,536,freshwater,-0.892652397
537,-0.868433452,-0.385595016,0.180647225,1.318777433,darkblue,m2_2_HLH632,537,freshwater,-0.892652397
538,-0.868433452,0.820823326,0.240438774,1.302257089,darkblue,m2_2_HLH632,538,freshwater,-0.892652397
539,-0.868433452,-1.270087277,0.282190191,1.293005641,darkblue,m2_2_HLH632,539,freshwater,-0.892652397
540,-0.868433452,1.171525315,0.435124829,1.267984034,darkblue,m2_2_HLH633,540,freshwater,-0.892652397
541,-0.868433452,0.295245434,0.046569221,1.397103993,darkblue,m2_2_HLH633,541,freshwater,-0.892652397
542,-0.868433452,2.138696863,0.109004993,1.347965002,darkblue,m2_2_HLH633,542,freshwater,-0.892652397
543,-0.868433452,-0.144140995,0.085174496,1.362218777,darkblue,m2_2_HLH633,543,freshwater,-0.892652397
544,-0.868433452,-0.098039844,0.098810771,1.353638224,darkblue,m2_2_HLH634,544,freshwater,-0.892652397
545,-0.868433452,-0.001615762,0.037308203,1.409915297,darkblue,m2_2_HLH634,545,freshwater,-0.892652397
546,-0.868433452,-1.080686782,0.796713908,1.233035232,darkblue,m2_2_HLH634,546,freshwater,-0.892652397
547,-0.868433452,-0.068840596,0.090777652,1.358537568,darkblue,m2_2_HLH634,547,freshwater,-0.892652397
614,0.37857844,0.287682072,0.025022957,1.432993649,darkblue,m2_2_HLH679,614,freshwater,0.384069108
615,0.37857844,-0.123613956,0.045693637,1.398200698,darkblue,m2_2_HLH680,615,freshwater,0.384069108
616,0.37857844,0.30538165,0.074354118,1.370068904,darkblue,m2_2_HLH681,616,freshwater,0.384069108
617,0.37857844,0.762140051,0.188117914,1.316436032,darkblue,m2_2_HLH682,617,freshwater,0.384069108
618,0.37857844,-0.048790164,0.044797336,1.399345337,darkblue,m2_2_HLH683,618,freshwater,0.384069108
619,0.37857844,0.693147181,0.0125,1.473096538,darkblue,m2_2_HLH684,619,freshwater,0.384069108
622,0.647484289,3.784189634,0.061769972,1.380782519,darkblue,m2_2_HLH700,622,freshwater,0.659381543
623,0.284110599,2.708050201,0.024948148,1.433166647,darkblue,m2_2_HLH701,623,freshwater,0.287350605
662,0.351206886,-0.037253592,0.027973804,1.426552665,darkcyan,m2_2_JES022,662,marine,0.356045437
663,0.351206886,0.94953479,0.06852014,1.374790163,darkcyan,m2_2_JES022,663,marine,0.356045437
664,0.351206886,0.648026745,0.560251479,1.253380046,darkcyan,m2_2_JES022,664,marine,0.356045437
665,0.351206886,-0.22262928,0.281428509,1.29316181,darkcyan,m2_2_JES023,665,marine,0.356045437
666,0.351206886,0.566733256,0.101934636,1.35183982,darkcyan,m2_2_JES023,666,marine,0.356045437
667,0.351206886,-0.09531018,0.073646905,1.370621101,darkcyan,m2_2_JES023,667,marine,0.356045437
668,0.351206886,0.329041351,0.03690094,1.410549498,darkcyan,m2_2_JES023,668,marine,0.356045437
681,0.832457584,1.489448353,0.109295116,1.347811422,darkcyan,m2_2_JES030,681,marine,0.848761761
692,0.027060668,0.20840127,0.004614953,1.530669815,darkcyan,m2_2_JES044,692,marine,0.024176551
