Unit_ID,X.1,X,LRR,var.LRR,scale,col,row,Study,pr.st
79,300,2.493205453,-0.214147988,0.022515931,1.396568047,darkgreen,300,Ogle et al. 2003,0.144979186
80,301,0.003992021,0.171014486,0.032515479,1.37846009,darkgreen,301,Ogle et al. 2003,-0.286126224
81,302,0.067658648,0.112477983,0.016913308,1.410666517,darkgreen,302,Ogle et al. 2003,-0.275099838
82,303,2.014903021,-0.306550557,0.017694859,1.408440632,darkgreen,303,Ogle et al. 2003,0.06214227
83,304,1.945910149,-0.081262964,0.035786138,1.373737429,darkgreen,304,Ogle et al. 2003,0.050193435
84,305,0,0.280809193,0.032390402,1.378649998,darkgreen,305,Ogle et al. 2003,-0.2868176
85,306,0,-0.558669266,0.125253431,1.312007681,darkgreen,306,Ogle et al. 2003,-0.2868176
86,307,2.066862759,-0.413641769,0.03586569,1.373628015,darkgreen,307,Ogle et al. 2003,0.071141146
87,308,2.493205453,0.563431924,0.066007686,1.343571199,darkgreen,308,Ogle et al. 2003,0.144979186
88,309,0.003992021,0.090775025,0.075053516,1.337242894,darkgreen,309,Ogle et al. 2003,-0.286126224
89,310,0.067658648,0.016807118,0.024858553,1.39169094,darkgreen,310,Ogle et al. 2003,-0.275099838
90,311,2.014903021,0.163789309,0.0935938,1.326364971,darkgreen,311,Ogle et al. 2003,0.06214227
91,312,1.945910149,-0.19248981,0.088128577,1.32932967,darkgreen,312,Ogle et al. 2003,0.050193435
92,313,0,0.184843626,0.065219869,1.344162837,darkgreen,313,Ogle et al. 2003,-0.2868176
93,314,0,0.663368305,0.020177753,1.401970599,darkgreen,314,Ogle et al. 2003,-0.2868176
94,315,2.066862759,0.510825624,0.044837018,1.362627388,darkgreen,315,Ogle et al. 2003,0.071141146
95,316,2.493205453,-0.066489741,0.020467903,1.401267096,darkgreen,316,Ogle et al. 2003,0.144979186
96,317,0.003992021,0.614602152,0.036578517,1.372658299,darkgreen,317,Ogle et al. 2003,-0.286126224
97,318,0.067658648,-0.298044859,0.027175274,1.387300325,darkgreen,318,Ogle et al. 2003,-0.275099838
98,319,2.014903021,-0.670674325,0.043966956,1.363592954,darkgreen,319,Ogle et al. 2003,0.06214227
