Unit_ID,X.1,X,LRR,var.LRR,col,scale,pr.st,Study,System
141,203,-0.767255153,-0.075217166,0.0003643,darkblue,1.000006219,-0.247659564,m16_1_Ramos Buskirk 2012,F
142,204,-0.767255153,-0.075217166,0.0003643,darkblue,1.000006219,-0.247659564,m16_1_Ramos Buskirk 2012,F
143,205,1.933589665,-0.036486265,0.000199748,darkblue,1.000002016,-0.067380676,m16_1_Ramos Buskirk 2012,F
144,206,-0.767255153,-0.139509178,0.000634457,darkblue,1.000013118,-0.247659564,m16_1_Ramos Buskirk 2012,F
145,207,-0.767255153,-0.139509178,0.000634457,darkblue,1.000013118,-0.247659564,m16_1_Ramos Buskirk 2012,F
146,208,3.673607174,-0.804117621,0.006710349,darkblue,1.000167778,0.048763879,m16_1_Wissinger McGrady 1993,F
147,209,1.762776834,-0.984140263,0.187939605,darkblue,1.004396821,-0.078782274,m16_1_Porter-Whitaker et al 2012,F
148,210,2.811689236,-0.06543032,0.048085796,darkblue,1.001196793,-0.008768344,m16_1_Stelzer Lamberti 1999,F
149,211,2.995732274,-0.074107972,0.09566075,darkblue,1.002330929,0.003516358,m16_1_ETB015,F
150,213,2.995732274,-0.336472237,153.0612399,darkblue,1.128691739,0.003516358,m16_1_ETB015,F
151,215,4.043051268,-1.178654996,0.004633262,darkblue,1.000115011,0.07342393,m16_1_ETB016,F
152,217,3.377587516,-1.871802177,0.003342596,darkblue,1.000082168,0.029004842,m16_1_ETB017,F
153,219,1.088379616,0.47957308,0.061045029,darkblue,1.00151075,-0.123797663,m16_1_ETB020,F
154,221,3.850147602,-1.168603534,214.0811302,darkblue,1.137216256,0.060547789,m16_1_ETB021,F
155,223,5.117993812,-1.370118562,442.5616098,darkblue,1.155708532,0.145175348,m16_1_ETB021,F
156,225,1.609437912,-1.063696024,0.052355899,darkblue,1.001300669,-0.089017505,m16_1_ETB026,F
157,227,1.609437912,-0.970546386,743.924891,darkblue,1.16895387,-0.089017505,m16_1_ETB026,F
158,229,1.609437912,-0.672009,0.449163079,darkblue,1.009474914,-0.089017505,m16_1_ETB027,F
159,231,1.609437912,-1.34744395,117113.5043,darkblue,1.298166653,-0.089017505,m16_1_ETB027,F
160,233,0.783159419,-0.533348317,0.022110092,darkblue,1.000555631,-0.144170828,m16_1_ETB030,F
161,235,0.783159419,-0.942131201,0.040675634,darkblue,1.001015521,-0.144170828,m16_1_ETB031,F
162,237,2.708050201,0.964134374,0.151365123,darkblue,1.003597878,-0.015686153,m16_1_ETB032,F
