"X.1","Unit_ID","Entry","Study","Expt","Ygen","Yspec","Smax","Y.treatment","T_mean","T_sd","T_N","C_mean","C_sd","C_N","X","col","scale","Sys1","pr.st","RR","VRR","CVR","VCVR","VR","VVR","power_RR","power_CVR","power_VR","d20_power_RR","d20_power_CVR","d20_power_VR"
9,9,44,8,"17","SST","g wet algal biomass L-1",7,"Y1",1.37,0.237,70,1.56,0.402,10,0.857142857,"blue",1.078877184,"A",0.743090064,-0.129875081421412,0.00706805360874776,-0.446826044806439,0.0698699859758975,-0.576701126227851,0.0628019323671498,0.959126228053039,0.217677796297227,0.236909425639726,0.582668911766726,0.106032465159487,0.112493206173567
13,13,46,8,"19","SST","g wet algal biomass L-1",6,"Y1",1.787,0.603,90,1.976,0.342,10,0.833333333,"blue",1.065426996,"A",0.632060837,-0.100536363148385,0.00426071501416931,0.617705244785499,0.0654342480978148,0.517168881637114,0.0611735330836454,0.997494523048149,0.229267914765259,0.241960047341969,0.797635653338752,0.109921043756103,0.114197258984541
16,16,47,8,"20","SST","g wet algal biomass L-1",6,"Y3",1274,401.398,10,1371.067,357.127,10,0.5,"blue",1.016363183,"A",-0.92234833,-0.0734277116744999,0.0167115109755528,0.190289704648019,0.127822622086664,0.116861992973519,0.111111111111111,0.672457742533904,0.140234348755486,0.15420648167076,0.291671110575661,0.0802855158998756,0.0849172274068386
15,15,47,8,"20","SST","g wet algal biomass L-1",6,"Y1",1339.333,433.774,60,1371.067,357.127,10,0.833333333,"blue",1.03245595,"A",0.632060837,-0.0234175399799091,0.00853288915753761,0.170768761022717,0.0725630209842796,0.147351221042808,0.064030131826742,0.920441937396985,0.21132662884165,0.23326704521934,0.505537531278959,0.103907440235603,0.111266286716761
12,12,45,8,"18","SST","g wet algal biomass L-1",9,"Y6",3.13,0.614,10,3.127,0.614,10,0.333333333,"blue",1.035995662,"A",-1.699552916,0.000958926076357747,0.00770361763781222,-0.000958926076357586,0.118814728748923,0,0.111111111111111,0.943482320758136,0.147269974168182,0.15420648167076,0.546713928775707,0.0826180102477503,0.0849172274068386
14,14,46,8,"19","SST","g wet algal biomass L-1",6,"Y3",1.979,0.615,10,1.976,0.342,10,0.5,"blue",1.021748735,"A",-0.92234833,0.00151706729475271,0.012652927069417,0.58529446344916,0.123764038180528,0.586811530743913,0.111111111111111,0.789842873771406,0.143275561833656,0.15420648167076,0.367432763514973,0.0812938505269249,0.0849172274068386
18,18,51,10,"23","SST","g aboveground plant biomass m-2",6,"Y1",298.06,146.859,40,498.236,249.319,15,0.833333333,"darkgreen",1.011899749,"T",0.632060837,-0.513779051833287,0.0227628045246658,-0.0383749792891828,0.0712976030594644,-0.55215403112247,0.0485347985347985,0.540703261901649,0.214251586154235,0.292298921603608,0.226935114155276,0.104885616167887,0.131392525482993
19,19,51,10,"23","SST","g aboveground plant biomass m-2",6,"Y4",442.681,310.795,15,498.236,249.319,15,0.5,"darkgreen",1.005235504,"T",-0.92234833,-0.118224439991797,0.0495541371466267,0.338624769816865,0.120982708575198,0.220400329825068,0.0714285714285714,0.287326211447276,0.145479429183458,0.213944079628408,0.129674416172955,0.0820244629249613,0.104782740744919
23,23,83,18,"33","SST","number nematodes 100g-1 soil",16,"Y8",1103.75,591.94,6,1988.58,601.03,6,0.5,"darkgreen",1.004015695,"T",-0.92234833,-0.588707343250466,0.0631610158126961,0.573467771551995,0.263161015812696,-0.0152395716984706,0.2,0.235830110837422,0.0930868196824944,0.107021227014842,0.112129472758243,0.0645920719386844,0.0692483443941271
20,20,83,18,"33","SST","number nematodes 100g-1 soil",16,"Y1",1168.57,634.42,48,1988.58,601.03,6,0.9375,"darkgreen",1.012705955,"T",1.117813703,-0.531640037121791,0.0213654063529796,0.496344680574308,0.13200370422532,-0.0352953565474823,0.11063829787234,0.566926880871875,0.137299967561855,0.154664133247179,0.238707035695932,0.0793124135993362,0.085068923466752
