"X.1","Unit_ID","Entry","Study","Expt","Ygen","Yspec","Smax","Y.treatment","T_mean","T_sd","T_N","C_mean","C_sd","C_N","X","col","scale","Sys1","pr.st","RR","VRR","CVR","VCVR","VR","VVR","individual_power.Stanley_RR","individual_power.Stanley_CVR","individual_power.Stanley_VR","true_power.Stanley_RR","true_power.Stanley_CVR","true_power.Stanley_VR","individual_power.two.tail.Shinichi_RR","individual_power.two.tail.Shinichi_CVR","individual_power.two.tail.Shinichi_VR","individual_power.one.tail.Shinichi_RR","individual_power.one.tail.Shinichi_CVR","individual_power.one.tail.Shinichi_VR"
237,237,400,65,"128","SST","g aboveground plant biomass m-2",14,"Y4",310.7,319.887,9,418.637,183.809,4,0.714285714,"darkgreen",1.001263871,"T",0.076914705,-0.298176379577742,0.165973677190517,0.748080346351072,0.395140343857183,0.449903966773331,0.229166666666667,0.996447337946357,0.220681432679424,0.153829789686669,0.996771540892052,0.108822933645389,0.0448297922278424,0.113264732163572,0.221497689645561,0.155696896761851,0.180634299794967,0.324632505512561,0.240394261359213
278,278,414,65,"131","SST","g aboveground plant biomass m-2",12,"Y8",357.423,174.943,6,471.584,344.055,4,0.333333333,"darkgreen",1.001195237,"T",-1.699552916,-0.277177286710772,0.17299716584321,-0.465830701688803,0.439663832509877,-0.743007988399575,0.266666666666667,0.99568493759585,0.996121855572997,0.99966158010207,0.996615146752017,0.101933190122635,0.0430470187773783,0.102223934150474,0.108177247356923,0.30147471489026,0.163926205329776,0.173014672888031,0.418385752295486
290,290,418,65,"132","SST","g aboveground plant biomass m-2",32,"Y8",611.71,305.31,10,784.58,119.818,4,0.75,"darkgreen",1.008700523,"T",0.243458546,-0.24889022875682,0.030741536892691,1.07313284670541,0.252963759114913,0.824242617948591,0.222222222222222,0.999636905105734,0.56894611523752,0.416255841418296,0.999905916586334,0.146593243176302,0.0452161258308069,0.294812528026573,0.568967349774925,0.416360108723509,0.410864375238617,0.687509075495082,0.541268116148108
241,241,401,65,"128","SST","g aboveground plant biomass m-2",14,"Y4",55.514,48.849,9,69.359,35.692,4,0.714285714,"darkgreen",1.001416429,"T",0.076914705,-0.222660673642243,0.15223551514554,0.432301340387864,0.381402181812207,0.209640666745621,0.229166666666667,0.994307180833662,0.103840292287095,0.0639996652025574,0.997086326831867,0.111264299445746,0.0448297922278424,0.0880646023386258,0.107747799594704,0.0722445946696998,0.141370337587467,0.172365551811834,0.113729829500605
249,249,405,65,"129","SST","g aboveground plant biomass m-2",12,"Y4",604.082,271.166,8,738.002,59.034,4,0.666666667,"darkgreen",1.010047813,"T",-0.145143744,-0.200236584314452,0.0267873766087799,1.62961611944003,0.264882614704018,1.42937953512558,0.238095238095238,0.999272197382244,0.886165187269658,0.833825268596019,0.99994350416907,0.141896172577043,0.0443617416470784,0.231430023134319,0.886165335006419,0.833825774519657,0.336722073155852,0.935932033856859,0.900516943326112
253,253,406,65,"129","SST","g aboveground plant biomass m-2",12,"Y4",846.963,159.046,8,1031.775,90.651,4,0.666666667,"darkgreen",1.043845771,"T",-0.145143744,-0.197378888906409,0.00633766119301479,0.664317293643488,0.244432899288253,0.466938404737079,0.238095238095238,0.999995487498959,0.268853426704711,0.157924395786363,0.999999997794451,0.150233125474722,0.0443617416470784,0.698255441974982,0.269330612090857,0.159692024533363,0.797996685049911,0.381640903096535,0.245753262659558
218,218,392,65,"126","SST","g aboveground plant biomass m-2",18,"Y8",196.954,70.089,8,232.709,143.417,8,0.555555556,"darkgreen",1.00400544,"T",-0.663280133,-0.166818547033769,0.0633071519488116,-0.549172060577238,0.206164294805954,-0.715990607611007,0.142857142857143,0.995641661946797,0.999236367602079,0.9999419686993,0.999304393966359,0.170224651814854,0.0518522472523516,0.101681287945879,0.227247794237375,0.473893876744698,0.163087643696282,0.331648673465126,0.59850503708699
211,211,391,65,"126","SST","g aboveground plant biomass m-2",18,"Y1",206.49,165.56,14,243.363,114.722,8,0.944444444,"darkgreen",1.003380664,"T",1.150197226,-0.164302170772792,0.0736957641617311,0.498156994235203,0.183585874051841,0.333854823462411,0.10989010989011,0.994844126126677,0.212632489319383,0.170332876633128,0.999051836953872,0.185883477007776,0.0569960109264001,0.092907390305328,0.213528772235243,0.171836103293014,0.149257913093898,0.314828373718995,0.261821380029446
202,202,386,65,"125","SST","g aboveground plant biomass m-2",16,"Y8",523.599,163.244,10,612.094,216.769,6,0.5,"darkgreen",1.008735808,"T",-0.92234833,-0.156159741310029,0.0306231515883334,-0.171870959510645,0.186178707143889,-0.328030700820674,0.155555555555556,0.997830014686477,0.990820301252503,0.99737818904229,0.999907189267437,0.183894418217249,0.0503959277047661,0.145021452975921,0.0683662214221459,0.132228067725709,0.225879628076076,0.106285181616357,0.208067751138389
265,265,409,65,"130","SST","g aboveground plant biomass m-2",11,"Y4",486.092,170.115,12,559.209,169.98,10,0.636363636,"darkgreen",1.014002391,"T",-0.286453672,-0.140125378813733,0.0194457454269169,0.130818264577647,0.120455846437018,-0.00930711423608674,0.101010101010101,0.998485707181729,0.0567062399100586,0.976663089404352,0.999986114584446,0.260124807406879,0.0588884346071188,0.171276231528021,0.0664287298682267,0.0500982397759909,0.261087576273772,0.10241164219855,0.0530937139608085
212,212,391,65,"126","SST","g aboveground plant biomass m-2",18,"Y2",213.864,38.32,12,243.363,114.722,8,0.888888889,"darkgreen",1.008786999,"T",0.891129034,-0.129213856872646,0.0304530100423144,-0.993300026449808,0.147336126925431,-1.12251388332245,0.116883116883117,0.99653730664856,0.999997288680576,0.999999921136728,0.999909002690587,0.220903970384012,0.0556891861141106,0.114786709759854,0.734937488967304,0.907144860962614,0.182889912340994,0.827138386803834,0.949339840236299
200,200,386,65,"125","SST","g aboveground plant biomass m-2",16,"Y2",538.348,82.78,14,612.094,216.769,6,0.875,"darkgreen",1.01199306,"T",0.826361984,-0.128380674289535,0.022591786405393,-0.89580357134005,0.161053324866931,-1.02418424562959,0.138461538461538,0.997554259579648,0.999986183076305,0.999998775777296,0.999972093906768,0.205827591802924,0.0524110854208869,0.13684509755088,0.607283342314274,0.785951611433539,0.214552866407841,0.721505541440218,0.865973803965112
